Дата,Заражений,Выздоровлений,Смертей,Заражений за день,Выздоровлений за день,Население страны,I,R,S,Инфицированные_I,Восприимчивые_S,Инфицированные норм
2020-08-21,325255,269196.0,41491,1061,899.0,63181775,14568.0,310687.0,62856520,14568.0,62856520,23.05728194562435
2020-08-22,326587,269944.0,41509,1332,748.0,63181775,15134.0,311453.0,62855188,15134.0,62855188,23.95310989601036
2020-08-23,327637,271051.0,41515,1050,1107.0,63181775,15071.0,312566.0,62854138,15071.0,62854138,23.85339759764584
2020-08-24,328612,271865.0,41519,975,814.0,63181775,15228.0,313384.0,62853163,15228.0,62853163,24.101886976109803
2020-08-25,329809,272999.0,41535,1197,1134.0,63181775,15275.0,314534.0,62851966,15275.0,62851966,24.176275516159524
2020-08-26,330955,274017.0,41552,1146,1018.0,63181775,15386.0,315569.0,62850820,15386.0,62850820,24.351959089468444
2020-08-27,332499,275155.0,41564,1544,1138.0,63181775,15780.0,316719.0,62849276,15780.0,62849276,24.975556637970364
2020-08-28,333796,276605.0,41573,1297,1450.0,63181775,15618.0,318178.0,62847979,15618.0,62847979,24.719153585033027
2020-08-29,334907,277638.0,41585,1111,1033.0,63181775,15684.0,319223.0,62846868,15684.0,62846868,24.82361408808157
2020-08-30,336661,278750.0,41586,1754,1112.0,63181775,16325.0,320336.0,62845114,16325.0,62845114,25.8381471555682
2020-08-31,338076,279466.0,41589,1415,716.0,63181775,17021.0,321055.0,62843699,17021.0,62843699,26.93973064226195
2020-09-01,339403,280578.0,41592,1327,1112.0,63181775,17233.0,322170.0,62842372,17233.0,62842372,27.275270439933035
2020-09-02,340918,281396.0,41602,1515,818.0,63181775,17920.0,322998.0,62840857,17920.0,62840857,28.36260931257471
2020-09-03,342698,282578.0,41616,1780,1182.0,63181775,18504.0,324194.0,62839077,18504.0,62839077,29.286926491064868
2020-09-04,344680,283629.0,41626,1982,1051.0,63181775,19425.0,325255.0,62837095,19425.0,62837095,30.744625329060476
2020-09-05,346507,284949.0,41638,1827,1320.0,63181775,19920.0,326587.0,62835268,19920.0,62835268,31.528079101924565
2020-09-06,349499,285997.0,41640,2992,1048.0,63181775,21862.0,327637.0,62832276,21862.0,62832276,34.601750267383274
2020-09-07,352450,286969.0,41643,2951,972.0,63181775,23838.0,328612.0,62829325,23838.0,62829325,37.72923441926093
2020-09-08,354932,288134.0,41675,2482,1165.0,63181775,25123.0,329809.0,62826843,25123.0,62826843,39.76304875891822
2020-09-09,357611,289272.0,41683,2679,1138.0,63181775,26656.0,330955.0,62824164,26656.0,62824164,42.18938135245488
2020-09-10,360545,290802.0,41697,2934,1530.0,63181775,28046.0,332499.0,62821230,28046.0,62821230,44.38938285605303
2020-09-11,364088,292093.0,41703,3543,1291.0,63181775,30292.0,333796.0,62817687,30292.0,62817687,47.94420542949292
2020-09-12,367593,293195.0,41712,3505,1102.0,63181775,32686.0,334907.0,62814182,32686.0,62814182,51.733272767344694
2020-09-13,370932,294944.0,41717,3339,1749.0,63181775,34271.0,336661.0,62810843,34271.0,62810843,54.24190757540446
2020-09-14,373559,296350.0,41726,2627,1406.0,63181775,35483.0,338076.0,62808216,35483.0,62808216,56.16018226775047
2020-09-15,376669,297650.0,41753,3110,1300.0,63181775,37266.0,339403.0,62805106,37266.0,62805106,58.98219858495587
2020-09-16,380678,299145.0,41773,4009,1495.0,63181775,39760.0,340918.0,62801097,39760.0,62801097,62.92953941227514
2020-09-17,384086,300904.0,41794,3408,1759.0,63181775,41388.0,342698.0,62797689,41388.0,62797689,65.50623182080592
2020-09-18,388417,302859.0,41821,4331,1955.0,63181775,43737.0,344680.0,62793358,43737.0,62793358,69.22407608839733
2020-09-19,392847,304659.0,41848,4430,1800.0,63181775,46340.0,346507.0,62788928,46340.0,62788928,73.34393501923617
2020-09-20,396748,307633.0,41866,3901,2974.0,63181775,47249.0,349499.0,62785027,47249.0,62785027,74.78264103849567
2020-09-21,401121,310573.0,41877,4373,2940.0,63181775,48671.0,352450.0,62780654,48671.0,62780654,77.03329005872342
2020-09-22,406058,313018.0,41914,4937,2445.0,63181775,51126.0,354932.0,62775717,51126.0,62775717,80.91890422515037
2020-09-23,412245,315660.0,41951,6187,2642.0,63181775,54634.0,357611.0,62769530,54634.0,62769530,86.47113823567001
2020-09-24,418890,318554.0,41991,6645,2894.0,63181775,58345.0,360545.0,62762885,58345.0,62762885,92.34466742980868
2020-09-25,425767,322063.0,42025,6877,3509.0,63181775,61679.0,364088.0,62756008,61679.0,62756008,97.62150556865488
2020-09-26,431817,325533.0,42060,6050,3470.0,63181775,64224.0,367593.0,62749958,64224.0,62749958,101.64956587560258
2020-09-27,437522,328855.0,42077,5705,3322.0,63181775,66590.0,370932.0,62744253,66590.0,62744253,105.39431663640346
2020-09-28,441571,331469.0,42090,4049,2614.0,63181775,68012.0,373559.0,62740204,68012.0,62740204,107.6449656566312
2020-09-29,448728,334507.0,42162,7157,3038.0,63181775,72059.0,376669.0,62733047,72059.0,62733047,114.05029377538064
2020-09-30,455847,338445.0,42233,7119,3938.0,63181775,75169.0,380678.0,62725928,75169.0,62725928,118.97259929781967
2020-10-01,462780,341794.0,42292,6933,3349.0,63181775,78694.0,384086.0,62718995,78694.0,62718995,124.55173980154879
2020-10-02,469768,346059.0,42358,6988,4265.0,63181775,81351.0,388417.0,62712007,81351.0,62712007,128.75706641670007
2020-10-03,482652,350440.0,42407,12884,4381.0,63181775,89805.0,392847.0,62699123,89805.0,62699123,142.1375072162819
2020-10-04,505621,354308.0,42440,22969,3868.0,63181775,108873.0,396748.0,62676154,108873.0,62676154,172.31709618794343
2020-10-05,518218,358662.0,42459,12597,4354.0,63181775,117097.0,401121.0,62663557,117097.0,62663557,185.33350796175006
2020-10-06,532770,363523.0,42535,14552,4861.0,63181775,126712.0,406058.0,62649005,126712.0,62649005,200.55150397404947
2020-10-07,546946,369640.0,42605,14176,6117.0,63181775,134701.0,412245.0,62634829,134701.0,62634829,213.19597304760748
2020-10-08,564500,376208.0,42682,17554,6568.0,63181775,145610.0,418890.0,62617275,145610.0,62617275,230.46202801361628
2020-10-09,578392,382998.0,42769,13892,6790.0,63181775,152625.0,425767.0,62603383,152625.0,62603383,241.5649132997609
2020-10-10,593569,388967.0,42850,15177,5969.0,63181775,161752.0,431817.0,62588206,161752.0,62588206,256.01053468345896
2020-10-11,606460,394607.0,42915,12891,5640.0,63181775,168938.0,437522.0,62575315,168938.0,62575315,267.384067636593
2020-10-12,620443,398606.0,42965,13983,3999.0,63181775,178872.0,441571.0,62561332,178872.0,62561332,283.10695608029374
2020-10-13,637692,405620.0,43108,17249,7014.0,63181775,188964.0,448728.0,62544083,188964.0,62544083,299.0799166373531
2020-10-14,657454,412602.0,43245,19762,6982.0,63181775,201607.0,455847.0,62524321,201607.0,62524321,319.0904339107282
2020-10-15,676452,419397.0,43383,18998,6795.0,63181775,213672.0,462780.0,62505323,213672.0,62505323,338.1861304149812
2020-10-16,692110,426249.0,43519,15658,6852.0,63181775,222342.0,469768.0,62489665,222342.0,62489665,351.90844195181285
2020-10-17,708298,438983.0,43669,16188,12734.0,63181775,225646.0,482652.0,62473477,225646.0,62473477,357.1377980438188
2020-10-18,725292,461885.0,43736,16994,22902.0,63181775,219671.0,505621.0,62456483,219671.0,62456483,347.6809570481361
2020-10-19,744113,474402.0,43816,18821,12517.0,63181775,225895.0,518218.0,62437662,225895.0,62437662,357.5318990325929
2020-10-20,765484,488713.0,44057,21371,14311.0,63181775,232714.0,532770.0,62416291,232714.0,62416291,368.3245682793812
2020-10-21,792189,502698.0,44248,26705,13985.0,63181775,245243.0,546946.0,62389586,245243.0,62389586,388.15465377476335
2020-10-22,813444,520063.0,44437,21255,17365.0,63181775,248944.0,564500.0,62368331,248944.0,62368331,394.01235561995526
2020-10-23,834000,533731.0,44661,20556,13668.0,63181775,255608.0,578392.0,62347775,255608.0,62347775,404.559700958069
2020-10-24,857042,548734.0,44835,23042,15003.0,63181775,263473.0,593569.0,62324733,263473.0,62324733,417.0079109046873
2020-10-25,876846,561474.0,44986,19804,12740.0,63181775,270386.0,606460.0,62304929,270386.0,62304929,427.9493572315751
2020-10-26,897751,575355.0,45088,20905,13881.0,63181775,277308.0,620443.0,62284024,277308.0,62284024,438.9050481725149
2020-10-27,920655,592237.0,45455,22904,16882.0,63181775,282963.0,637692.0,62261120,282963.0,62261120,447.85541400190164
2020-10-28,945369,611689.0,45765,24714,19452.0,63181775,287915.0,657454.0,62236406,287915.0,62236406,455.6931172003319
2020-10-29,968449,630407.0,46045,23080,18718.0,63181775,291997.0,676452.0,62213326,291997.0,62213326,462.153841040395
2020-10-30,992867,645791.0,46319,24418,15384.0,63181775,300757.0,692110.0,62188908,300757.0,62188908,476.01859871774735
2020-10-31,1014788,661653.0,46645,21921,15862.0,63181775,306490.0,708298.0,62166987,306490.0,62166987,485.0924178689187
2020-11-01,1038056,678485.0,46807,23268,16832.0,63181775,312764.0,725292.0,62143719,312764.0,62143719,495.02249659810917
2020-11-02,1057029,697170.0,46943,18973,18685.0,63181775,312916.0,744113.0,62124746,312916.0,62124746,495.2630723020998
2020-11-03,1077077,718144.0,47340,20048,20974.0,63181775,311593.0,765484.0,62104698,311593.0,62104698,493.16911403644485
2020-11-04,1102279,744357.0,47832,25202,26213.0,63181775,310090.0,792189.0,62079496,310090.0,62079496,490.79026348974844
2020-11-05,1126445,765234.0,48210,24166,20877.0,63181775,313001.0,813444.0,62055330,313001.0,62055330,495.3976047681471
2020-11-06,1149764,785435.0,48565,23319,20201.0,63181775,315764.0,834000.0,62032011,315764.0,62032011,499.770701282134
2020-11-07,1174762,808064.0,48978,24998,22629.0,63181775,317720.0,857042.0,62007013,317720.0,62007013,502.86653073611814
2020-11-08,1195358,827712.0,49134,20596,19648.0,63181775,318512.0,876846.0,61986417,318512.0,61986417,504.12005677270065
2020-11-09,1216733,848422.0,49329,21375,20710.0,63181775,318982.0,897751.0,61965042,318982.0,61965042,504.86394217319787
2020-11-10,1237166,870794.0,49861,20433,22372.0,63181775,316511.0,920655.0,61944609,316511.0,61944609,500.9530042484561
2020-11-11,1260167,894912.0,50457,23001,24118.0,63181775,314798.0,945369.0,61921608,314798.0,61921608,498.241779373878
2020-11-12,1293684,917429.0,51020,33517,22517.0,63181775,325235.0,968449.0,61888091,325235.0,61888091,514.7607834696003
2020-11-13,1321014,941471.0,51396,27330,24042.0,63181775,328147.0,992867.0,61860761,328147.0,61860761,519.3697074828937
2020-11-14,1347907,962930.0,51858,26893,21459.0,63181775,333119.0,1014788.0,61833868,333119.0,61833868,527.2390653792173
2020-11-15,1372897,986030.0,52026,24990,23100.0,63181775,334841.0,1038056.0,61808878,334841.0,61808878,529.9645348678475
2020-11-16,1394284,1004789.0,52240,21387,18759.0,63181775,337255.0,1057029.0,61787491,337255.0,61787491,533.7852569035929
2020-11-17,1414355,1024238.0,52839,20071,19449.0,63181775,337278.0,1077077.0,61767420,337278.0,61767420,533.8216598061704
2020-11-18,1433987,1048911.0,53368,19632,24673.0,63181775,331708.0,1102279.0,61747788,331708.0,61747788,525.005826442831
2020-11-19,1456919,1072575.0,53870,22932,23664.0,63181775,330474.0,1126445.0,61724856,330474.0,61724856,523.0527315828022
2020-11-20,1477203,1095383.0,54381,20284,22808.0,63181775,327439.0,1149764.0,61704572,327439.0,61704572,518.2491311774637
2020-11-21,1497125,1120041.0,54721,19922,24658.0,63181775,322363.0,1174762.0,61684650,322363.0,61684650,510.2151688520938
2020-11-22,1515805,1140238.0,55120,18680,20197.0,63181775,320447.0,1195358.0,61665970,320447.0,61665970,507.18264879389665
2020-11-23,1531278,1161406.0,55327,15473,21168.0,63181775,314545.0,1216733.0,61650497,314545.0,61650497,497.84134744552523
2020-11-24,1542599,1181231.0,55935,11321,19825.0,63181775,305433.0,1237166.0,61639176,305433.0,61639176,483.4194670852473
2020-11-25,1560846,1203537.0,56630,18247,22306.0,63181775,300679.0,1260167.0,61620929,300679.0,61620929,475.8951453959627
2020-11-26,1578410,1236556.0,57128,17564,33019.0,63181775,284726.0,1293684.0,61603365,284726.0,61603365,450.64577562121355
2020-11-27,1593194,1263366.0,57648,14784,26810.0,63181775,272180.0,1321014.0,61588581,272180.0,61588581,430.7887836326219
2020-11-28,1609110,1289780.0,58127,15916,26414.0,63181775,261203.0,1347907.0,61572665,261203.0,61572665,413.4151026937752
2020-11-29,1621304,1314555.0,58342,12194,24775.0,63181775,248407.0,1372897.0,61560471,248407.0,61560471,393.16242698151484
2020-11-30,1633679,1335739.0,58545,12375,21184.0,63181775,239395.0,1394284.0,61548096,239395.0,61548096,378.8988201107044
2020-12-01,1647165,1355207.0,59148,13486,19468.0,63181775,232810.0,1414355.0,61534610,232810.0,61534610,368.47651082927
2020-12-02,1663373,1374191.0,59796,16208,18984.0,63181775,229386.0,1433987.0,61518402,229386.0,61518402,363.057226549903
2020-12-03,1678298,1396709.0,60210,14925,22518.0,63181775,221379.0,1456919.0,61503477,221379.0,61503477,350.3842682482409
2020-12-04,1694679,1416489.0,60714,16381,19780.0,63181775,217476.0,1477203.0,61487096,217476.0,61487096,344.20685395432463
2020-12-05,1710295,1436014.0,61111,15616,19525.0,63181775,213170.0,1497125.0,61471480,213170.0,61471480,337.3915974978544
2020-12-06,1727639,1454463.0,61342,17344,18449.0,63181775,211834.0,1515805.0,61454136,211834.0,61454136,335.2770636785687
2020-12-07,1742405,1469747.0,61531,14766,15284.0,63181775,211127.0,1531278.0,61439370,211127.0,61439370,334.15807010803354
2020-12-08,1754821,1480469.0,62130,12416,10722.0,63181775,212222.0,1542599.0,61426954,212222.0,61426954,335.8911648177026
2020-12-09,1771444,1498183.0,62663,16623,17714.0,63181775,210598.0,1560846.0,61410331,210598.0,61410331,333.3208033487505
2020-12-10,1792522,1515231.0,63179,21078,17048.0,63181775,214112.0,1578410.0,61389253,214112.0,61389253,338.8825337686382
2020-12-11,1814281,1529591.0,63603,21759,14360.0,63181775,221087.0,1593194.0,61367494,221087.0,61367494,349.9221096589958
2020-12-12,1835826,1544987.0,64123,21545,15396.0,63181775,226716.0,1609110.0,61345949,226716.0,61345949,358.83132438112096
2020-12-13,1854353,1557037.0,64267,18527,12050.0,63181775,233049.0,1621304.0,61327422,233049.0,61327422,368.8547844690973
2020-12-14,1874725,1569179.0,64500,20372,12142.0,63181775,241046.0,1633679.0,61307050,241046.0,61307050,381.5119154218127
2020-12-15,1893323,1582159.0,65006,18598,12980.0,63181775,246158.0,1647165.0,61288452,246158.0,61288452,389.60285620339096
2020-12-16,1918585,1597755.0,65618,25262,15596.0,63181775,255212.0,1663373.0,61263190,255212.0,61263190,403.93293793977773
2020-12-17,1954080,1612148.0,66150,35495,14393.0,63181775,275782.0,1678298.0,61227695,275782.0,61227695,436.489794723241
2020-12-18,1982748,1628040.0,66639,28668,15892.0,63181775,288069.0,1694679.0,61199027,288069.0,61199027,455.93685837411186
2020-12-19,2009960,1643121.0,67174,27212,15081.0,63181775,299665.0,1710295.0,61171815,299665.0,61171815,474.2902522127623
2020-12-20,2046066,1660136.0,67503,36106,17015.0,63181775,318427.0,1727639.0,61135709,318427.0,61135709,503.9855243066533
2020-12-21,2079512,1674687.0,67718,33446,14551.0,63181775,337107.0,1742405.0,61102263,337107.0,61102263,533.551012139181
2020-12-22,2116521,1686412.0,68409,37009,11725.0,63181775,361700.0,1754821.0,61065254,361700.0,61065254,572.4752114039214
2020-12-23,2155880,1702289.0,69155,39359,15877.0,63181775,384436.0,1771444.0,61025895,384436.0,61025895,608.4602719692506
2020-12-24,2195066,1722792.0,69730,39186,20503.0,63181775,402544.0,1792522.0,60986709,402544.0,60986709,637.1204354420242
2020-12-25,2227935,1743980.0,70301,32869,21188.0,63181775,413654.0,1814281.0,60953840,413654.0,60953840,654.7046201218627
2020-12-26,2262772,1765313.0,70513,34837,21333.0,63181775,426946.0,1835826.0,60919003,426946.0,60919003,675.7423323418818
2020-12-27,2295208,1783493.0,70860,32436,18180.0,63181775,440855.0,1854353.0,60886567,440855.0,60886567,697.7565919919153
2020-12-28,2336655,1803508.0,71217,41447,20015.0,63181775,461930.0,1874725.0,60845120,461930.0,60845120,731.1127298971895
2020-12-29,2389942,1821648.0,71675,53287,18140.0,63181775,496619.0,1893323.0,60791833,496619.0,60791833,786.016220658568
2020-12-30,2440180,1845929.0,72656,50238,24281.0,63181775,521595.0,1918585.0,60741595,521595.0,60741595,825.5466073879691
2020-12-31,2496187,1880459.0,73621,56007,34530.0,63181775,542107.0,1954080.0,60685588,542107.0,60685588,858.0116655475412
2021-01-01,2549671,1908513.0,74235,53484,28054.0,63181775,566923.0,1982748.0,60632104,566923.0,60632104,897.2888146937942
2021-01-02,2607548,1935278.0,74682,57877,26765.0,63181775,597588.0,2009960.0,60574227,597588.0,60574227,945.8233802390009
2021-01-03,2662664,1970929.0,75137,55116,35651.0,63181775,616598.0,2046066.0,60519111,616598.0,60519111,975.9111705867713
2021-01-04,2721583,2003968.0,75544,58919,33039.0,63181775,642071.0,2079512.0,60460192,642071.0,60460192,1016.2281765588257
2021-01-05,2782676,2040100.0,76421,61093,36132.0,63181775,666155.0,2116521.0,60399099,666155.0,60399099,1054.3467637621766
2021-01-06,2845230,2078414.0,77466,62554,38314.0,63181775,689350.0,2155880.0,60336545,689350.0,60336545,1091.0582996441617
2021-01-07,2898028,2116434.0,78632,52798,38020.0,63181775,702962.0,2195066.0,60283747,702962.0,60283747,1112.6024870304768
2021-01-08,2966224,2147974.0,79961,68196,31540.0,63181775,738289.0,2227935.0,60215551,738289.0,60215551,1168.515762654658
2021-01-09,3026299,2181773.0,80999,60075,33799.0,63181775,763527.0,2262772.0,60155476,763527.0,60155476,1208.4608259264637
2021-01-10,3081319,2213641.0,81567,55020,31868.0,63181775,786111.0,2295208.0,60100456,786111.0,60100456,1244.2053107878023
2021-01-11,3127617,2254559.0,82096,46298,40918.0,63181775,790962.0,2336655.0,60054158,790962.0,60054158,1251.8831577618705
2021-01-12,3173273,2306602.0,83340,45656,52043.0,63181775,783331.0,2389942.0,60008502,783331.0,60008502,1239.805307780606
2021-01-13,3220936,2355271.0,84909,47663,48669.0,63181775,780756.0,2440180.0,59960839,780756.0,59960839,1235.7297654268182
2021-01-14,3269737,2410025.0,86162,48801,54754.0,63181775,773550.0,2496187.0,59912038,773550.0,59912038,1224.3245777757907
2021-01-15,3325623,2462223.0,87448,55886,52198.0,63181775,775952.0,2549671.0,59856152,775952.0,59856152,1228.1263069927998
2021-01-16,3367060,2518801.0,88747,41437,56578.0,63181775,759512.0,2607548.0,59814715,759512.0,59814715,1202.106145324344
2021-01-17,3405734,2573235.0,89429,38674,54434.0,63181775,743070.0,2662664.0,59776041,743070.0,59776041,1176.0828181860988
2021-01-18,3443344,2631552.0,90031,37610,58317.0,63181775,721761.0,2721583.0,59738431,721761.0,59738431,1142.3563203154706
2021-01-19,3476787,2691033.0,91643,33443,59481.0,63181775,694111.0,2782676.0,59704988,694111.0,59704988,1098.593700477709
2021-01-20,3515776,2751761.0,93469,38989,60728.0,63181775,670546.0,2845230.0,59665999,670546.0,59665999,1061.2965526846942
2021-01-21,3553757,2803263.0,94765,37981,51502.0,63181775,655729.0,2898028.0,59628018,655729.0,59628018,1037.8451697502958
2021-01-22,3594084,2870058.0,96166,40327,66795.0,63181775,627860.0,2966224.0,59587691,627860.0,59587691,993.7359309706003
2021-01-23,3627726,2928782.0,97517,33642,58724.0,63181775,601427.0,3026299.0,59554049,601427.0,59554049,951.899499499658
2021-01-24,3657825,2983190.0,98129,30099,54408.0,63181775,576506.0,3081319.0,59523950,576506.0,59523950,912.4561631894641
2021-01-25,3680056,3028894.0,98723,22231,45704.0,63181775,552439.0,3127617.0,59501719,552439.0,59501719,874.3644824793225
2021-01-26,3700254,3072914.0,100359,20198,44020.0,63181775,526981.0,3173273.0,59481521,526981.0,59481521,834.0712175306883
2021-01-27,3725610,3118851.0,102085,25356,45937.0,63181775,504674.0,3220936.0,59456165,504674.0,59456165,798.7651502351746
2021-01-28,3754419,3166413.0,103324,28809,47562.0,63181775,484682.0,3269737.0,59427356,484682.0,59427356,767.1231142208335
2021-01-29,3783592,3221050.0,104573,29173,54637.0,63181775,457969.0,3325623.0,59398183,457969.0,59398183,724.8435169793821
2021-01-30,3806947,3261284.0,105776,23355,40234.0,63181775,439887.0,3367060.0,59374828,439887.0,59374828,696.2245046138701
2021-01-31,3828131,3299367.0,106367,21184,38083.0,63181775,422397.0,3405734.0,59353644,422397.0,59353644,668.5424713060056
2021-02-01,3846807,3336570.0,106774,18676,37203.0,63181775,403463.0,3443344.0,59334968,403463.0,59334968,638.5749688102305
2021-02-02,3863721,3368563.0,108224,16914,31993.0,63181775,386934.0,3476787.0,59318054,386934.0,59318054,612.4139437361486
2021-02-03,3882972,3406230.0,109546,19251,37667.0,63181775,367196.0,3515776.0,59298803,367196.0,59298803,581.1739223850549
2021-02-04,3903704,3443295.0,110462,20732,37065.0,63181775,349947.0,3553757.0,59278071,349947.0,59278071,553.873328186807
2021-02-05,3922893,3482607.0,111477,19189,39312.0,63181775,328809.0,3594084.0,59258882,328809.0,59258882,520.4174779831684
2021-02-06,3941250,3515421.0,112305,18357,32814.0,63181775,313524.0,3627726.0,59240525,313524.0,59240525,496.2253751180621
2021-02-07,3957167,3545144.0,112681,15917,29723.0,63181775,299342.0,3657825.0,59224608,299342.0,59224608,473.7790288417823
2021-02-08,3971294,3567042.0,113014,14127,21898.0,63181775,291238.0,3680056.0,59210481,291238.0,59210481,460.9525452553367
2021-02-09,3983736,3586188.0,114066,12442,19146.0,63181775,283482.0,3700254.0,59198039,283482.0,59198039,448.67685341223796
2021-02-10,3996819,3610542.0,115068,13083,24354.0,63181775,271209.0,3725610.0,59184956,271209.0,59184956,429.2519480498926
2021-02-11,4010365,3638671.0,115748,13546,28129.0,63181775,255946.0,3754419.0,59171410,255946.0,59171410,405.0946653524691
2021-02-12,4025556,3667085.0,116507,15191,28414.0,63181775,241964.0,3783592.0,59156219,241964.0,59156219,382.9648660551243
2021-02-13,4038916,3689819.0,117128,13360,22734.0,63181775,231969.0,3806947.0,59142859,231969.0,59142859,367.1454307828484
2021-02-14,4049910,3710743.0,117388,10994,20924.0,63181775,221779.0,3828131.0,59131865,221779.0,59131865,351.0173622061109
2021-02-15,4059691,3729186.0,117621,9781,18443.0,63181775,212884.0,3846807.0,59122084,212884.0,59122084,336.9389353179774
2021-02-16,4070329,3745301.0,118420,10638,16115.0,63181775,206608.0,3863721.0,59111446,206608.0,59111446,327.0056911189975
2021-02-17,4083089,3763813.0,119159,12760,18512.0,63181775,200117.0,3882972.0,59098686,200117.0,59098686,316.73215891766256
2021-02-18,4095185,3784090.0,119614,12096,20277.0,63181775,191481.0,3903704.0,59086590,191481.0,59086590,303.0636603672499
2021-02-19,4107281,3802746.0,120147,12096,18656.0,63181775,184388.0,3922893.0,59074494,184388.0,59074494,291.8373217593206
2021-02-20,4117737,3820657.0,120593,10456,17911.0,63181775,176487.0,3941250.0,59064038,176487.0,59064038,279.332133356494
2021-02-21,4127575,3836357.0,120810,9838,15700.0,63181775,170408.0,3957167.0,59054200,170408.0,59054200,269.7106879317651
2021-02-22,4138231,3850306.0,120988,10656,13949.0,63181775,166937.0,3971294.0,59043544,166937.0,59043544,264.21701511234846
2021-02-23,4146758,3862200.0,121536,8527,11894.0,63181775,163022.0,3983736.0,59035017,163022.0,59035017,258.0206079996961
2021-02-24,4156704,3874841.0,121978,9946,12641.0,63181775,159885.0,3996819.0,59025071,159885.0,59025071,253.05556863510085
2021-02-25,4166724,3888063.0,122302,10020,13222.0,63181775,156359.0,4010365.0,59015051,156359.0,59015051,247.47484539647706
2021-02-26,4175311,3902908.0,122648,8587,14845.0,63181775,149755.0,4025556.0,59006464,149755.0,59006464,237.02246415204385
2021-02-27,4182769,3915977.0,122939,7458,13069.0,63181775,143853.0,4038916.0,58999006,143853.0,58999006,227.6811628036724
2021-02-28,4188823,3926827.0,123083,6054,10850.0,63181775,138913.0,4049910.0,58992952,138913.0,58992952,219.86245242397828
2021-03-01,4194287,3936504.0,123187,5464,9677.0,63181775,134596.0,4059691.0,58987488,134596.0,58987488,213.02978588366662
2021-03-02,4200697,3946799.0,123530,6410,10295.0,63181775,130368.0,4070329.0,58981078,130368.0,58981078,206.337982748981
2021-03-03,4207117,3959072.0,124017,6420,12273.0,63181775,124028.0,4083089.0,58974658,124028.0,58974658,196.30344351674196
2021-03-04,4213760,3970926.0,124259,6643,11854.0,63181775,118575.0,4095185.0,58968015,118575.0,58968015,187.67279013607958
2021-03-05,4219786,3982786.0,124495,6026,11860.0,63181775,112505.0,4107281.0,58961989,112505.0,58961989,178.06558932540278
2021-03-06,4225904,3993083.0,124654,6118,10297.0,63181775,108167.0,4117737.0,58955871,108167.0,58955871,171.19968535230294
2021-03-07,4231165,4002839.0,124736,5261,9756.0,63181775,103590.0,4127575.0,58950610,103590.0,58950610,163.9555077393758
2021-03-08,4235987,4013430.0,124801,4822,10591.0,63181775,97756.0,4138231.0,58945788,97756.0,58945788,154.72183236384225
2021-03-09,4241855,4021726.0,125032,5868,8296.0,63181775,95097.0,4146758.0,58939920,95097.0,58939920,150.51334027890164
2021-03-10,4247877,4031482.0,125222,6022,9756.0,63181775,91173.0,4156704.0,58933898,91173.0,58933898,144.30268855219722
2021-03-11,4254712,4041321.0,125403,6835,9839.0,63181775,87988.0,4166724.0,58927063,87988.0,58927063,139.26167791265758
